Fruits or crop,Name of the disease,Symptoms
Mango,Mango cushion scale insect,"This cotton-like cushion-shaped insect damages the mango tree by sucking the sap from the leaves, leaf tips, young tips and fruits. They cause damage in two ways Firstly, by sucking the sap, the vitality of the plant decreases.Secondly, while sucking the sap, they inject a poisonous substance into the sap of the plant. As a result, yellow spots are seen on the affected leaves, tips and fruits. All leaves on severely infected plants may turn pale."
Mango,Mango fly insect,"This insect lays eggs in the avipositor when the fruit is ripe. When the egg hatches, the worm comes out and eats the fleshy part of the fruit and the inside of the fruit rots."
Mango,Mango weevil,It is not very harmful to mangoes but sometimes damages the roots and stems.
Mango,Mango thrips insect,The insect eats the young leaves and sap of the plant and weakens the plant. Many times the result is scarring due to the attack.
Jackfruit,Jackfruit stem borer,"If attacked by this insect, holes can be seen in the stem of the tree. Besides, the stem hangs or hangs like a garland."
Jackfruit,Jackfruit millibug,"They suck the sap of the leaves and twigs, thereby weakening the plant. Infested leaves, fruits and twigs appear white cotton. Ants are often seen. Its attack often causes the leaves to drop and the branches to die."
Jackfruit,Jackfruit fruit deformity,Boron deficiency results in stunted growth and malformation.
Jackfruit,Jackfruit fruit rot disease,"It is basically a collection disease of fruits. When this disease occurs, the lower part of the fruit rots first and the fruit rots quickly. Cotton-like parts of the organism can be seen in the rotten part."
Jackfruit,Jackal scale insect,"This small insect damages the plant by sucking the juice from leaves, leaf tips, young tips and fruits. They cause damage in two ways. First, sap-sucking reduces the plant's vitality. Second, they inject a toxic substance into the sap while sucking the sap. As a result, yellow spots are seen on the affected leaves, tips and fruits. All leaves on severely infected plants may turn pale."
Banana,Collar cordana spot disease,Large circular spots on the leaves may result in reduced yield.
Banana,Banana Cucumber Mosaic Virus Disease,"Leaves have a mixture of yellowish green spots, yield is greatly reduced."
Banana,Banana stem weevil,"The adult beetle lays its eggs on the roots at the base of the banana plant. When the egg hatches, the grub (baby) comes out and goes inside. Gradually it climbs up and eats between the stems and the affected part rots. If the level of attack is high, the leaves of the dog will wither and there will be no banana and the plant will die."
Banana,Banana anthracnose disease,"The attack of this disease causes small brown spots on the banana. The spots later enlarge and develop dark, hard lump-like lesions. The size of the spots gradually increases and turns brown."
Banana,Banana leaf and fruit beetle,"Its attack causes narrow long spots on the leaves and fruits. Its attack does not affect the food quality and production of fruits, but the market value is slightly reduced."
Lychee,Lychee weed problem,Paragache clings to the plant and takes part in the plant's nutrients and damages the plant by disrupting its growth.
Lychee,Litchi leaf weevil,This insect eats the young leaves of the plant. Eating the young leaves of the plant stems/branches causes stunted plant growth.
Lychee,Lychee leafhoppers,"They twist the leaves and eat the green part of the leaves.  Although not very harmful to large trees, it can often defoliate smaller trees."
Lychee,Leaf burn disease of litchi,"If infected with this disease, the leaves first get yellow spots and then turn brown. Leaves dry."
Lychee,Litchi scale insect,"They suck the sap of the leaves and twigs, thereby weakening the plant. White cotton appears on the leaves, fruits and branches of the insect attack. Ants are often seen. Its attack often causes the leaves to drop and the branches to die."
Guava,Guava bird infestation problem,Birds peck and eat the young/ripe fruit.
Guava,Diplodia fruit rot disease of guava,"In the attack of this disease, high black spots are seen on the fruit and the fruit rots."
Guava,Clidosporium fruit rot disease of guava,"In the attack of this disease, water-soaked spots appear on the fruit and rotting starts from the beginning. The affected part of the fruit takes on a buff color but the rotten fruit does not fall easily from the tree."
Guava,Phomopsis blight disease of guava,"In the attack of this disease, small spots like alpine heads appear on the fruit. Many spots coalesce to form large spots. The affected part of the fruit becomes dry and crusty."
Guava,Guava maggots,This insect defoliates the tree partially or completely. Many times the tree does not bear fruit due to deadly attack.
Papaya,Papaya seedling blight disease,"Spots are seen around the root of the affected plant. Roots rot, saplings fall, trees die. If the soil is damp and the surface of the soil is hard, the prevalence of the disease increases. The disease is soil borne and spreads through soil, infected plants and water."
Papaya,Root rot disease of pap,"Infected leaves turn yellow. The roots and roots of the sapling rot, the sapling falls and the tree dies."
Papaya,Deficiency of potash fertilizer in pap,Potassium deficiency causes yellowing of the midveins of old pap leaves. Leaves begin to dry from the edges and slowly move towards the center.
Papaya,Peper's cotton mold disease,"Due to the attack of this disease, black dirt accumulates on the leaves, fruits and stems. Millibug infestation causes this disease."
Papaya,Boron fertilizer deficiency of pap,Boron deficiency results in small size and deformity of the papaya.
Watermelon,Virus disease of watermelon,"The leaves turn a mixed color of yellow and green. The growth of trees is reduced. If the infestation is high, the flowers will not bear fruit. Many times the fruit does not grow."
Watermelon,Watermelon red pumpkin beetle,"The adult caterpillars of the pumpkin beetle burrow into the plant leaves and feed from the edges of the leaves, eating the entire leaf. This insect also attacks flowers and young fruits."
Watermelon,Watermelon leaf tunneler,"Small worms eat the green part of the leaves on both sides. Therefore, spots like curved lines are drawn on the leaves and the leaves become dry and shriveled."
Watermelon,Gummy stem blight disease of watermelon,"When this disease occurs, water-soaked spots appear on the leaves. Extensive infestation causes leaf rot. Red gum comes out when the stem bursts."
Watermelon,Downy mildew disease of watermelon,The disease first appears on older leaves. White or yellow to brown spots appear on affected leaves. Gradually spread to other pages.
Watermelon,Watermelon root rot disease,"Water-soaked spots can be seen around the base of the affected plant. A white fungal net at the base and sometimes mustard-like fungal spores are found. Roots rot, saplings fall and trees die. If the soil is damp and the surface of the soil is hard, the prevalence of the disease increases. The disease is soil borne and spreads through soil, infected plants and water."
Bell,Bell's shoot mold disease,"Presence of ants, black dirt on leaves, branch tips die, and leaves fall off."
Bell,Powdery mildew disease,"Powder-like material on leaves and stems, leaves are damaged."
Bell,Gum disease,"Brown gum or juice exuding from vine stem or thick branch, branches or entire plant may die."
Plum,Fruit borer,"Eats fleshy part of fruit, enters inside, attacks seeds, spoils fruit."
Plum,Root problem,"Paragacha plant clings to roots, disrupts growth."
Plum,Root leaf weevil,"Eats young leaves, disrupts plant growth."
Plum,Red rust disease,"Raised reddish spots on leaves and fruits, caused by green algae."
Plum,Leaf-wrapping insect,"wists leaves, eats green parts."
Plum,Sootmold disease,"Black dirt on leaves, fruits, and stems."
Plum,Powdery mildew disease,"White-gray powder on leaves, affects leaves, flowers, and young fruits."
Lemon,Downy disease,"Tree starts to die, eventually whole tree dies, caused by fungus."
Lemon,Weed problem,"Paragacha plant clings to roots, disrupts growth."
Lemon,Greening disease,"Midvein of leaves turns yellow, leaves curl, die-back disease."
Lemon,Powdery mildew disease,"Powder-like substance on leaves, young tips, or fruits."
Lemon,Red rust disease,"Raised spots like red rust on leaves, fruits, and stems."
Pomegranate,Anthracnose disease,"Irregular spots on young leaves, young fruits turn black, dry, crack, and rot."
Pomegranate,Bacterial blight,"Brown or black leaves, slow growth, scarred and burst fruit."
Pomegranate,Aga die disease,Whole tree or branches die from the top downward.
Pomegranate,Leaf-wrapping insect,"Twists leaves, eats green parts."
Pomegranate,Jab beetle,"Eats leaves, secretes sweet sap, black coating on leaves."
Pomegranate,Fruit drying problem,Young fruits dry up.
Safeda,Stem borer,"Holes in stem, stem hangs or dangles."
Safeda,Bark beetle,"Sucks sap from leaves, leaf tips, young tips, and fruits, yellow spots on leaves."
Safeda,Red rust disease,Raised reddish spots on leaves and fruits.
Safeda,Powdery mildew disease,White powdery coating on leaves.
Safeda,Millibug,"Sucks sap, secretes sticky sweet juice, black coating from mold fungus."
Orange,Millibug,"Sucks sap from leaves and twigs, white powdery mildew on leaves, fruits, and branches, often presence of ants."
Orange,Greening disease,"Midveins of leaves turn yellow, leaves curl, die-back disease."
Orange,Early blight,Whole tree or branches die from the top downward.
Orange,Scab (Shingles) disease,"Raised spots on leaves and stems, crusty undersides of leaves."
Malta,Malta,Whole tree or branches die from the top downward.
Malta,Leaf tunneling insect,"Digs holes in young leaves, curved spots, leaves curl."
Malta,Canker disease,"Raised spots on leaves, fruits, and stems."
Malta,Greening disease,"Midveins of leaves turn yellow, leaves curl, die-back disease."
Malta,Psyllid bug,"Sucks sap, carries citrus greening disease virus."
Ata,Aga die disease,Whole tree or branches die from the top downward.
Ata,Shootimold disease,"Black dirt on leaves, fruits, and stems."
Ata,Rust disease,Raised reddish spots on leaves and fruits.
Ata,Fruit borer,"Pierces fruit, eats fleshy part, fruit rots inside."
Ata,Leaf-wrapping insect,"Twists leaves, eats green parts."
